Track,Artist,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Tag,predicted_Tag
Calling My Spirit,Kodak Black,0.0996,0.91,0.366,0.0,1.0,0.261,-9.954,1.0,0.0941,119.985,4.0,0.74,Giuliana,Giuliana
Represent,Nas,0.02,0.708,0.832,2.8e-06,1.0,0.189,-4.964,1.0,0.318,92.428,4.0,0.618,Giuliana,Giuliana
Rigid - Kobosil 44 Rush Mix,Rosa Anschütz,0.00086,0.805,0.917,0.625,1.0,0.108,-5.925,1.0,0.151,134.996,4.0,0.27,Andrea,Andrea
Still Here,Drake,0.0258,0.834,0.433,0.0,0.0,0.633,-9.607,1.0,0.174,133.938,3.0,0.229,Giuliana,Giuliana
Runnin',The Pharcyde,0.0287,0.754,0.785,0.00144,10.0,0.319,-8.178,0.0,0.18,94.123,4.0,0.821,Giuliana,Gianluca
"Concerto for Violin and Strings in E, Op. 8, No. 1, R.269 ""La Primavera"": 3. Allegro (Danza pastorale)",Antonio Vivaldi,0.688,0.281,0.108,1.19e-06,3.0,0.126,-20.623,1.0,0.0424,96.517,4.0,0.213,Laura,Laura
What's the Use?,Mac Miller,0.736,0.759,0.492,0.00989,1.0,0.107,-10.338,0.0,0.12,104.974,4.0,0.561,Giuliana,Giuliana
Armageddon It - Remastered 2017,Def Leppard,0.000798,0.65,0.921,0.0298,9.0,0.134,-6.014,1.0,0.0359,119.8,4.0,0.648,Erika,Gianluca
Barry Bonds,Kanye West,0.0451,0.48,0.624,0.0,1.0,0.337,-6.131,1.0,0.382,165.057,4.0,0.704,Giuliana,Giuliana
rockstar (feat. 21 Savage),Post Malone,0.124,0.585,0.52,7.01e-05,5.0,0.131,-6.136,0.0,0.0712,159.801,4.0,0.129,Giuliana,Gianluca
"Serenade No. 13 in G Major, K. 525, ""Eine kleine Nachtmusik"": I. Allegro",Wolfgang Amadeus Mozart,0.948,0.492,0.136,0.893,7.0,0.0726,-18.839,1.0,0.0463,135.786,4.0,0.445,Laura,Laura
Demolition Lovers,My Chemical Romance,0.00184,0.38,0.797,1.42e-05,8.0,0.208,-9.091,1.0,0.057,118.64,4.0,0.206,Erika,Erika
"Snow (feat. Peggy Lee, Danny Kaye & Trudy Stevens)",Bing Crosby,0.721,0.469,0.332,3.06e-05,7.0,0.441,-10.112,1.0,0.0302,127.026,4.0,0.424,Laura,Laura
Rollout (My Business),Ludacris,0.0949,0.921,0.668,0.0,7.0,0.592,-8.73,1.0,0.235,131.059,4.0,0.892,Giuliana,Andrea
A Time of Wonder,Oscar Lynn,0.995,0.239,0.0403,0.901,7.0,0.127,-30.621,1.0,0.0411,165.461,3.0,0.16,Laura,Laura
Personal Jesus - 2006 Remaster,Depeche Mode,0.134,0.679,0.741,0.207,11.0,0.0985,-7.596,1.0,0.0494,130.033,4.0,0.363,Erika,Andrea
Banshee,Tony Romanello,0.000691,0.768,0.873,0.887,6.0,0.108,-9.148,0.0,0.0483,135.005,4.0,0.0617,Andrea,Andrea
Award Tour (feat. Trugoy The Dove),A Tribe Called Quest,0.00308,0.812,0.6,8.38e-06,7.0,0.173,-9.414,1.0,0.254,97.338,4.0,0.555,Giuliana,Giuliana
I Know What You Want (feat. Flipmode Squad),Busta Rhymes,0.0142,0.648,0.759,0.0,6.0,0.648,-4.315,1.0,0.306,85.996,4.0,0.518,Giuliana,Giuliana
The Warmth,Incubus,0.0139,0.594,0.679,0.0108,0.0,0.18,-7.488,1.0,0.0598,147.028,4.0,0.351,Erika,Erika
Deep,Summer Walker,0.626,0.646,0.335,1.3e-05,3.0,0.107,-9.915,0.0,0.247,167.927,4.0,0.419,Giuliana,Giuliana
Congratulations,Post Malone,0.215,0.63,0.804,0.0,6.0,0.253,-4.183,1.0,0.0363,123.146,4.0,0.492,Giuliana,Gianluca
Chic 'N' Stu,System Of A Down,0.0169,0.611,0.795,0.0,6.0,0.116,-3.428,1.0,0.04,95.756,4.0,0.384,Erika,Erika
The Shortest Straw (Remastered),Metallica,8.87e-05,0.432,0.906,0.0448,9.0,0.156,-7.958,1.0,0.108,142.767,4.0,0.592,Erika,Erika
Enjoy the Silence - 2006 Remaster,Depeche Mode,0.348,0.38,0.591,0.0146,0.0,0.127,-11.966,0.0,0.0321,113.003,4.0,0.22,Erika,Erika
Jealous Again,The Black Crowes,0.111,0.633,0.842,0.0,7.0,0.139,-4.642,1.0,0.0262,114.449,4.0,0.674,Erika,Gianluca
Dance With The Devil (The 6th Gate) - Reinier Zonneveld Remix,Reinier Zonneveld,0.0115,0.603,0.982,0.393,11.0,0.11,-6.55,1.0,0.198,154.948,4.0,0.306,Andrea,Andrea
Diles,Bad Bunny,0.108,0.813,0.56,0.0,2.0,0.268,-5.904,0.0,0.0618,118.033,4.0,0.287,Gianluca,Giuliana
2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dogg),2Pac,0.0248,0.849,0.904,5.11e-05,8.0,0.0545,-4.78,1.0,0.138,99.258,4.0,0.854,Giuliana,Gianluca
Master Of Puppets (Remastered),Metallica,0.00067,0.539,0.828,0.421,4.0,0.154,-9.108,0.0,0.035,105.25,4.0,0.562,Erika,Andrea
Backseat Freestyle,Kendrick Lamar,0.000739,0.546,0.651,0.0,1.0,0.235,-7.601,1.0,0.3,77.878,4.0,0.646,Giuliana,Giuliana
Beverly Hills,Weezer,0.0932,0.693,0.823,0.0,5.0,0.328,-3.761,1.0,0.0726,87.904,4.0,0.741,Erika,Gianluca
End Of The Line,Traveling Wilburys,0.163,0.578,0.836,1.36e-06,2.0,0.0583,-6.607,1.0,0.0512,167.026,4.0,0.932,Erika,Erika
Sunday (feat. Frank Ocean),Earl Sweatshirt,0.278,0.716,0.568,1.98e-06,2.0,0.385,-8.904,1.0,0.212,136.894,4.0,0.905,Giuliana,Giuliana
She,Green Day,7.37e-05,0.37,0.937,0.00817,1.0,0.0904,-3.939,0.0,0.0356,93.307,4.0,0.874,Erika,Erika
Why'd You Only Call Me When You're High?,Arctic Monkeys,0.0483,0.691,0.631,1.13e-05,2.0,0.104,-6.478,1.0,0.0368,92.004,4.0,0.8,Erika,Erika
The Hop,A Tribe Called Quest,0.0679,0.927,0.517,0.0,1.0,0.174,-6.489,1.0,0.361,95.525,4.0,0.616,Giuliana,Gianluca
Spoonman,Soundgarden,2.17e-05,0.457,0.902,0.196,7.0,0.258,-5.624,1.0,0.0313,92.711,4.0,0.834,Erika,Erika
Blue Orchid,The White Stripes,0.0863,0.481,0.645,6.2e-06,10.0,0.332,-8.535,0.0,0.318,151.307,4.0,0.612,Erika,Giuliana
Adore - 2020 Remaster,Prince,0.46,0.717,0.435,6.39e-05,7.0,0.289,-11.57,1.0,0.07,129.235,4.0,0.775,Erika,Giuliana
ROS,Mac Miller,0.601,0.535,0.448,0.0,1.0,0.376,-8.919,0.0,0.175,120.554,4.0,0.284,Giuliana,Laura
Clown,Korn,0.0101,0.458,0.787,8.76e-05,1.0,0.065,-6.909,1.0,0.17,80.482,4.0,0.301,Erika,Giuliana
I Know What I Know (with General M.D.Shirinda & The Gaza Sisters),Paul Simon,0.254,0.795,0.741,0.000251,0.0,0.189,-6.78,1.0,0.0534,117.906,4.0,0.961,Erika,Gianluca
Wild Night,Van Morrison,0.174,0.568,0.714,0.0,7.0,0.0429,-7.139,1.0,0.0445,146.338,4.0,0.955,Erika,Erika
Over And Over,Nelly,0.0065,0.644,0.517,1.37e-06,7.0,0.158,-10.02,1.0,0.0803,169.799,4.0,0.464,Giuliana,Giuliana
Land Of The Snakes,J. Cole,0.228,0.774,0.729,0.0,2.0,0.257,-7.806,1.0,0.293,104.009,4.0,0.475,Giuliana,Giuliana
Tame,Pixies,0.000302,0.567,0.588,0.788,0.0,0.276,-11.872,1.0,0.0749,137.546,4.0,0.918,Erika,Andrea
family ties (with Kendrick Lamar),Baby Keem,0.00575,0.711,0.611,0.0,1.0,0.231,-5.453,1.0,0.329,134.14,4.0,0.144,Giuliana,Giuliana
DELRESTO (ECHOES) (feat. Beyoncé),Travis Scott,0.461,0.674,0.609,0.0,2.0,0.328,-6.306,0.0,0.045,116.066,4.0,0.509,Giuliana,Giuliana
Mayonaise - 2011 Remaster,The Smashing Pumpkins,0.000107,0.482,0.528,0.543,10.0,0.0839,-10.426,1.0,0.0272,146.043,4.0,0.0882,Erika,Erika
Decode,Paramore,0.000686,0.28,0.87,0.00608,10.0,0.101,-4.219,0.0,0.0592,164.057,4.0,0.284,Erika,Erika
Thank You for the Venom,My Chemical Romance,0.00237,0.486,0.977,0.0,7.0,0.298,-3.463,1.0,0.0603,103.501,4.0,0.413,Erika,Erika
Motley Crew,Post Malone,0.0904,0.797,0.631,3.71e-06,3.0,0.0998,-3.818,0.0,0.0786,129.915,4.0,0.288,Giuliana,Gianluca
Nights Like This (feat. Ty Dolla $ign),Kehlani,0.367,0.61,0.725,0.0,8.0,0.154,-5.131,1.0,0.15,146.163,4.0,0.291,Giuliana,Giuliana
Wus Good / Curious,PARTYNEXTDOOR,0.0737,0.343,0.536,0.000129,11.0,0.225,-8.215,1.0,0.0805,82.836,5.0,0.456,Giuliana,Erika
Turn The Page - Live,Bob Seger,0.193,0.528,0.362,0.0,9.0,0.794,-10.352,1.0,0.0322,78.801,4.0,0.305,Erika,Gianluca
Know,System Of A Down,0.00179,0.334,0.903,0.0118,8.0,0.0558,-3.812,1.0,0.209,70.621,4.0,0.487,Erika,Giuliana
Any Way You Want It,Journey,0.000376,0.517,0.927,0.00819,7.0,0.136,-7.152,1.0,0.0479,138.154,4.0,0.597,Erika,Erika
The Flame,Cheap Trick,0.513,0.629,0.581,2.06e-06,4.0,0.0755,-11.856,1.0,0.027,97.074,4.0,0.359,Erika,Giuliana
Aerials,System Of A Down,0.000915,0.364,0.922,0.0346,0.0,0.0697,-4.217,0.0,0.0567,79.342,4.0,0.227,Erika,Erika
Learning To Fly,Tom Petty and the Heartbreakers,0.206,0.651,0.766,0.00103,0.0,0.362,-9.935,1.0,0.0299,116.74,4.0,0.949,Erika,Erika
Don't,Bryson Tiller,0.223,0.765,0.356,0.0,11.0,0.0963,-5.556,0.0,0.195,96.991,4.0,0.189,Giuliana,Giuliana
Between Me & You,Ja Rule,0.0202,0.818,0.883,0.000767,0.0,0.243,-4.547,1.0,0.0695,93.67,4.0,0.405,Giuliana,Gianluca
Calling My Phone,Lil Tjay,0.451,0.907,0.393,1.35e-06,4.0,0.135,-7.636,0.0,0.0539,104.949,4.0,0.202,Giuliana,Giuliana
Bounce,System Of A Down,0.000245,0.46,0.977,0.201,0.0,0.283,-3.853,0.0,0.0394,92.666,4.0,0.89,Erika,Erika
La La Love You,Pixies,0.00089,0.702,0.653,0.178,2.0,0.11,-12.886,1.0,0.0376,124.499,4.0,0.597,Erika,Giuliana
1-800-273-8255,Logic,0.569,0.62,0.574,0.0,5.0,0.19,-7.788,0.0,0.0479,100.023,4.0,0.357,Giuliana,Giuliana
Fight The Power,Public Enemy,0.00484,0.797,0.582,2.04e-06,2.0,0.517,-12.97,1.0,0.255,105.974,4.0,0.415,Giuliana,Giuliana
Party On Fifth Ave.,Mac Miller,0.0635,0.617,0.823,0.0,9.0,0.095,-5.21,1.0,0.328,97.67,4.0,0.663,Giuliana,Giuliana
Ride The Wind,Poison,0.0727,0.551,0.969,7.55e-05,6.0,0.0991,-2.41,1.0,0.0373,136.507,4.0,0.431,Erika,Erika
Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,0.0906,0.499,0.8,0.0,1.0,0.147,-2.665,0.0,0.0502,139.919,4.0,0.272,Giuliana,Erika
IV. Sweatpants,Childish Gambino,0.152,0.712,0.463,0.0,1.0,0.642,-9.33,0.0,0.143,80.029,4.0,0.593,Giuliana,Gianluca
She Talks To Angels,The Black Crowes,0.06,0.584,0.521,7.56e-05,4.0,0.22,-5.782,1.0,0.0295,160.058,4.0,0.317,Erika,Andrea
Got The Time,Anthrax,0.000641,0.371,0.973,0.00163,10.0,0.0423,-5.303,0.0,0.135,127.721,4.0,0.444,Erika,Erika
Forest,System Of A Down,0.000125,0.365,0.905,0.00925,1.0,0.093,-4.153,1.0,0.0569,150.404,4.0,0.65,Erika,Erika
Something I Can Never Have,Nine Inch Nails,0.797,0.501,0.131,2.73e-05,5.0,0.111,-16.792,1.0,0.03,108.033,4.0,0.0394,Erika,Erika
Patiently Waiting,50 Cent,0.245,0.538,0.675,0.0,0.0,0.362,-2.3,1.0,0.335,78.985,4.0,0.519,Giuliana,Giuliana
The One I Love,R.E.M.,0.000904,0.515,0.656,4.35e-06,2.0,0.135,-12.202,1.0,0.0296,127.707,4.0,0.769,Erika,Erika
FRANCHISE (feat. Young Thug & M.I.A.),Travis Scott,0.00671,0.835,0.699,0.0,8.0,0.195,-5.405,0.0,0.277,154.981,4.0,0.547,Giuliana,Giuliana
Bombtrack,Rage Against The Machine,0.0239,0.459,0.926,1.93e-05,4.0,0.183,-3.415,1.0,0.155,151.534,4.0,0.569,Erika,Erika
We Paid (feat. 42 Dugg),Lil Baby,0.135,0.926,0.542,0.0,1.0,0.0877,-5.064,1.0,0.293,135.14,4.0,0.564,Giuliana,Giuliana
Dead on Arrival,Fall Out Boy,0.0002,0.543,0.968,0.0,0.0,0.539,-4.028,1.0,0.0702,100.982,4.0,0.494,Erika,Andrea
Better Off Alone (Techno),Tektony,0.446,0.898,0.926,0.561,9.0,0.562,-5.54,0.0,0.401,145.015,4.0,0.668,Andrea,Erika
Daydreamin' (feat. Jill Scott),Lupe Fiasco,0.029,0.533,0.739,0.0,5.0,0.266,-3.573,0.0,0.0602,81.37,4.0,0.617,Giuliana,Gianluca
Fuck The World (Summer in London),Brent Faiyaz,0.873,0.679,0.281,0.00335,3.0,0.215,-15.506,0.0,0.184,74.996,4.0,0.234,Giuliana,Erika
Two Dope Boyz (In a Cadillac),Outkast,0.0127,0.809,0.718,0.0,10.0,0.062,-4.398,0.0,0.289,92.897,4.0,0.493,Giuliana,Andrea
Ether,Nas,0.0401,0.573,0.831,0.0,7.0,0.0909,-5.586,1.0,0.433,76.352,4.0,0.766,Giuliana,Giuliana
Do Not Disturb,Drake,0.246,0.618,0.693,0.0,7.0,0.112,-5.943,0.0,0.45,170.982,4.0,0.454,Giuliana,Gianluca
Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,5.59e-05,0.404,0.72,0.836,10.0,0.0466,-9.18,0.0,0.0623,121.864,4.0,0.475,Erika,Erika
Janie's Got A Gun,Aerosmith,0.0516,0.633,0.823,0.000496,5.0,0.188,-5.792,1.0,0.0287,115.107,4.0,0.444,Erika,Giuliana
"16 Waltzes, Op. 39: No. 15 In A Flat Major",Johannes Brahms,0.996,0.387,0.00906,0.889,8.0,0.0985,-34.559,1.0,0.0455,67.855,3.0,0.133,Laura,Laura
Change,Blind Melon,0.606,0.433,0.46,4.36e-05,2.0,0.175,-10.441,1.0,0.0343,77.525,4.0,0.536,Erika,Erika
Answer,"Tyler, The Creator",0.00329,0.352,0.838,5.74e-06,8.0,0.115,-6.465,0.0,0.0496,72.291,4.0,0.475,Giuliana,Erika
Chosen 1,Polo G,0.138,0.77,0.576,0.0,8.0,0.08,-11.845,0.0,0.339,166.162,4.0,0.364,Giuliana,Giuliana
To Live And Die In L.A.,Makaveli,0.241,0.579,0.818,0.0,9.0,0.775,-7.635,0.0,0.313,173.832,4.0,0.753,Giuliana,Giuliana
"Love, Hate, Love",Alice In Chains,0.00783,0.323,0.633,0.000112,8.0,0.0435,-9.014,1.0,0.0402,103.978,4.0,0.209,Erika,Erika
"Hold On, We're Going Home",Drake,0.00421,0.777,0.414,2.73e-05,6.0,0.0724,-7.44,0.0,0.0946,100.002,4.0,0.287,Giuliana,Gianluca
Mouth for War,Pantera,4.2e-06,0.329,0.954,0.000614,8.0,0.051,-7.006,0.0,0.0722,156.899,4.0,0.627,Erika,Erika
Paul Revere,Beastie Boys,0.0161,0.883,0.553,0.0,6.0,0.228,-13.232,0.0,0.944,91.753,4.0,0.578,Erika,Giuliana
From Time,Drake,0.626,0.738,0.491,0.0,1.0,0.126,-9.726,0.0,0.413,94.378,4.0,0.448,Giuliana,Giuliana
The Pusher,Blind Melon,0.0302,0.438,0.576,1.09e-05,9.0,0.0988,-8.727,1.0,0.032,165.277,4.0,0.742,Erika,Erika
Diamonds (Techno),Tommy Tran,0.0901,0.799,0.564,0.000963,11.0,0.465,-12.585,0.0,0.145,140.006,4.0,0.754,Andrea,Andrea
The Unforgiven II,Metallica,0.000514,0.49,0.884,0.00177,8.0,0.27,-4.533,0.0,0.0428,132.978,4.0,0.254,Erika,Erika
Everlasting Light,The Black Keys,0.127,0.641,0.582,0.00632,4.0,0.354,-6.554,1.0,0.0483,181.039,4.0,0.725,Erika,Andrea
Hold Me,Fleetwood Mac,0.247,0.709,0.571,0.014,10.0,0.114,-13.25,1.0,0.039,124.739,4.0,0.779,Erika,Erika
Lose Yourself,Eminem,0.00868,0.692,0.744,0.000423,2.0,0.359,-4.565,1.0,0.257,171.374,4.0,0.0612,Giuliana,Giuliana
Amazing,Kanye West,0.216,0.588,0.554,0.118,8.0,0.0619,-8.406,1.0,0.0545,146.133,4.0,0.496,Giuliana,Giuliana
Be a Human,Anahit Vardanyan,0.00426,0.737,0.906,0.883,7.0,0.105,-6.943,1.0,0.083,128.993,4.0,0.0391,Andrea,Andrea
¿Qué Tengo Que Hacer?,Daddy Yankee,0.0766,0.758,0.895,5.93e-05,10.0,0.296,-3.95,0.0,0.0686,107.995,4.0,0.947,Gianluca,Gianluca
Drain You,Nirvana,0.000129,0.325,0.929,2.22e-06,11.0,0.184,-5.625,0.0,0.0695,133.358,4.0,0.198,Erika,Erika
King Nothing,Metallica,7.77e-05,0.528,0.909,0.00959,8.0,0.0891,-5.712,1.0,0.0381,112.083,4.0,0.349,Erika,Erika
Psychosocial,Slipknot,0.00269,0.568,0.981,0.00275,2.0,0.0243,-3.889,1.0,0.0887,135.146,4.0,0.307,Erika,Andrea
Learning to Fly,Pink Floyd,0.252,0.442,0.56,0.0322,0.0,0.151,-13.681,1.0,0.0361,166.585,4.0,0.475,Erika,Erika
Sara,Fleetwood Mac,0.384,0.741,0.388,0.0235,10.0,0.0933,-16.693,1.0,0.031,126.819,4.0,0.589,Erika,Erika
Carousel,blink-182,0.000124,0.261,0.822,0.000344,2.0,0.0919,-8.288,1.0,0.0358,103.213,4.0,0.32,Erika,Erika
Elephant,Tame Impala,0.562,0.598,0.553,0.157,9.0,0.257,-6.742,0.0,0.0397,123.075,4.0,0.533,Erika,Andrea
Yo (Excuse Me Miss),Chris Brown,0.119,0.536,0.612,0.0,4.0,0.209,-5.847,1.0,0.272,86.768,4.0,0.57,Giuliana,Giuliana
Ain’t No Fun (If The Homies Can’t Have None),Snoop Dogg,0.133,0.856,0.722,0.000485,5.0,0.168,-6.124,0.0,0.076,100.192,4.0,0.719,Giuliana,Giuliana
Sleep Walk,Deftones,0.796,0.308,0.337,0.91,1.0,0.114,-12.292,1.0,0.034,111.556,5.0,0.21,Erika,Laura
Suggestions,System Of A Down,0.0136,0.356,0.91,0.00601,2.0,0.333,-4.85,1.0,0.141,177.962,4.0,0.063,Erika,Gianluca
Yesterdays,Guns N' Roses,0.0666,0.363,0.849,0.00517,6.0,0.306,-7.744,1.0,0.0554,170.627,4.0,0.429,Erika,Erika
Mr. Moustache,Nirvana,5.58e-06,0.194,0.898,0.141,0.0,0.108,-6.12,1.0,0.0608,177.191,4.0,0.482,Erika,Laura
Rickets,Deftones,4.82e-05,0.441,0.985,0.0575,8.0,0.0474,-6.585,1.0,0.221,96.59,4.0,0.24,Erika,Andrea
Why Can't I Be You?,The Cure,0.461,0.629,0.949,8.56e-06,0.0,0.0522,-4.664,0.0,0.048,107.798,4.0,0.719,Erika,Erika
Come and See Me (feat. Drake),PARTYNEXTDOOR,0.0511,0.77,0.347,2.57e-06,2.0,0.087,-10.265,1.0,0.0623,84.957,4.0,0.0583,Giuliana,Giuliana
Si Veo a Tu Mamá,Bad Bunny,0.402,0.9,0.603,4.81e-06,2.0,0.134,-5.313,1.0,0.0646,129.928,4.0,0.824,Gianluca,Gianluca
What’s Next,Drake,0.0136,0.781,0.594,0.0,0.0,0.162,-6.959,0.0,0.0485,129.895,4.0,0.0628,Giuliana,Giuliana
Cleanin' Out My Closet,Eminem,0.0687,0.908,0.758,0.0,9.0,0.0783,-4.753,0.0,0.174,148.015,4.0,0.87,Giuliana,Giuliana
Playing God,Paramore,0.00105,0.583,0.96,2.97e-05,1.0,0.0801,-3.597,0.0,0.0511,137.991,4.0,0.626,Erika,Erika
Creep - 2017 Remaster,Stone Temple Pilots,0.00483,0.662,0.485,0.000295,4.0,0.086,-9.161,0.0,0.0304,107.767,4.0,0.171,Erika,Giuliana
Without Me (Techno),FUTURAMI,0.134,0.733,0.773,7.68e-05,6.0,0.0744,-4.43,1.0,0.264,144.976,4.0,0.544,Andrea,Giuliana
Fight Music,D12,0.0803,0.75,0.849,0.0,0.0,0.333,-3.097,1.0,0.264,89.501,4.0,0.771,Giuliana,Giuliana
Riviera Paradise,Stevie Ray Vaughan,0.754,0.526,0.214,0.782,8.0,0.334,-18.89,0.0,0.0358,116.743,4.0,0.203,Erika,Erika
Nobody Does It Better,Warren G,0.446,0.736,0.561,0.0,0.0,0.128,-8.16,1.0,0.05,92.06,4.0,0.122,Giuliana,Andrea
Higher Ground - Remastered 2003,Red Hot Chili Peppers,0.0014,0.476,0.979,0.00729,4.0,0.0944,-3.506,0.0,0.132,140.404,4.0,0.416,Erika,Erika
Busta's Lament,A Tribe Called Quest,0.00539,0.879,0.401,3.66e-06,1.0,0.0688,-7.632,1.0,0.453,94.508,4.0,0.78,Giuliana,Giuliana
I Just Threw Out The Love Of My Dreams,Weezer,0.00176,0.413,0.967,1.09e-06,6.0,0.101,-3.96,0.0,0.136,130.451,4.0,0.279,Erika,Erika
Last Memory,Takeoff,0.175,0.854,0.708,0.0,1.0,0.241,-5.805,0.0,0.244,118.032,4.0,0.172,Giuliana,Giuliana
Tightrope,Stevie Ray Vaughan,0.0824,0.39,0.728,0.00121,5.0,0.194,-13.037,0.0,0.0367,99.926,4.0,0.704,Erika,Erika
The Perfect Drug,Nine Inch Nails,0.0207,0.627,0.883,0.00346,5.0,0.323,-8.988,0.0,0.0947,149.024,4.0,0.252,Erika,Andrea
Wild Thing,Tone-Loc,0.000507,0.943,0.685,8.56e-06,7.0,0.0604,-11.903,1.0,0.188,125.515,4.0,0.813,Giuliana,Giuliana
Through Da Storm,Polo G,0.128,0.71,0.49,0.0,1.0,0.0942,-9.832,1.0,0.246,74.351,4.0,0.621,Giuliana,Giuliana
Si No Le Contesto,Plan B,0.0945,0.844,0.757,0.0,1.0,0.16,-4.61,0.0,0.0523,94.977,4.0,0.532,Gianluca,Gianluca
Garden,Pearl Jam,0.0478,0.191,0.707,6.1e-05,7.0,0.295,-6.846,1.0,0.0345,82.7,4.0,0.179,Erika,Erika
Dumpweed,blink-182,0.00244,0.451,0.937,0.000112,4.0,0.148,-5.524,1.0,0.0952,100.601,4.0,0.591,Erika,Erika
Civil War,Guns N' Roses,0.0793,0.336,0.787,0.0648,10.0,0.32,-8.803,0.0,0.0732,140.003,4.0,0.383,Erika,Erika
"Up Where We Belong - From ""An Officer And A Gentleman""",Joe Cocker,0.634,0.624,0.306,2.67e-05,2.0,0.0632,-11.831,1.0,0.0318,139.912,4.0,0.227,Erika,Andrea
El Telefono,"Héctor ""El Father""",0.171,0.808,0.682,1.42e-06,2.0,0.464,-7.128,1.0,0.0963,89.987,4.0,0.491,Gianluca,Gianluca
M.... She Wrote,Tay-K,0.28,0.777,0.707,0.0,9.0,0.0749,-4.85,0.0,0.286,159.662,4.0,0.614,Giuliana,Giuliana
Absolute Zero,Stone Sour,0.000108,0.552,0.988,0.309,1.0,0.846,-2.555,0.0,0.0787,139.941,4.0,0.619,Erika,Andrea
On Me,Lil Baby,0.00327,0.856,0.564,0.0,6.0,0.134,-6.295,0.0,0.392,77.972,4.0,0.483,Giuliana,Giuliana
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),Metro Boomin,0.211,0.775,0.298,0.000233,9.0,0.132,-9.351,1.0,0.0517,120.091,4.0,0.0472,Giuliana,Gianluca
Express Yourself,N.W.A.,0.0506,0.851,0.583,0.0,8.0,0.236,-11.022,0.0,0.286,95.048,4.0,0.956,Giuliana,Giuliana
Above The Clouds,Gang Starr,0.312,0.462,0.944,0.000149,8.0,0.367,-2.938,1.0,0.315,172.33,4.0,0.65,Giuliana,Giuliana
Symphony Of Destruction - Remastered 2012,Megadeth,0.00052,0.663,0.91,0.675,4.0,0.112,-5.131,0.0,0.0495,140.044,4.0,0.708,Erika,Erika
It Ain't Like That,Alice In Chains,0.00905,0.445,0.842,3.57e-05,8.0,0.295,-7.9,0.0,0.0417,102.859,4.0,0.676,Erika,Erika
Rebellion of the Machines - Belocca Remix,Daniel Levak,0.0316,0.728,0.885,0.922,11.0,0.288,-7.381,0.0,0.0641,133.002,4.0,0.0341,Andrea,Andrea
About You,The 1975,0.312,0.416,0.762,0.804,2.0,0.0559,-7.385,1.0,0.0279,95.967,4.0,0.461,Erika,Erika
Love In An Elevator - Single Version,Aerosmith,0.00854,0.449,0.961,0.00276,4.0,0.343,-4.305,1.0,0.0701,93.956,4.0,0.602,Erika,Erika
One Vision - Remastered 2011,Queen,0.0449,0.46,0.922,0.000252,2.0,0.34,-7.388,1.0,0.264,119.961,4.0,0.328,Erika,Andrea
I Luv It,Jeezy,0.000975,0.641,0.765,0.0,9.0,0.387,-6.626,1.0,0.0383,91.009,4.0,0.19,Giuliana,Erika
I Feel Fine - Remastered 2015,The Beatles,0.0904,0.564,0.827,3.73e-06,7.0,0.127,-7.089,1.0,0.0283,89.847,4.0,0.912,Erika,Erika
No Love,Eminem,0.119,0.522,0.932,0.0,11.0,0.177,-2.87,1.0,0.255,129.473,4.0,0.33,Giuliana,Andrea
Love Galore (feat. Travis Scott),SZA,0.112,0.795,0.594,0.0,0.0,0.162,-6.2,1.0,0.0748,135.002,4.0,0.409,Giuliana,Giuliana
Stardust,Klanglos,0.00109,0.685,0.766,0.524,1.0,0.177,-7.588,0.0,0.0312,128.009,4.0,0.271,Andrea,Andrea
Re-Entry,TEDRA,0.00118,0.65,0.765,0.895,8.0,0.104,-7.523,0.0,0.0575,129.997,4.0,0.163,Andrea,Andrea
Check Yo Self,Ice Cube,0.191,0.856,0.792,0.0,1.0,0.402,-3.256,1.0,0.115,101.05,4.0,0.8,Giuliana,Giuliana
Flaws And Sins,Juice WRLD,0.00966,0.709,0.662,0.0,8.0,0.108,-4.55,1.0,0.0767,150.047,4.0,0.439,Giuliana,Giuliana
Funny Face,Fred Astaire,0.838,0.399,0.188,9.26e-06,10.0,0.117,-12.653,1.0,0.0413,133.664,4.0,0.335,Laura,Laura
Give It Away,Red Hot Chili Peppers,0.00244,0.666,0.936,0.086,7.0,0.153,-9.919,1.0,0.0476,91.577,4.0,0.776,Erika,Giuliana
Gorgeous,Kanye West,0.0207,0.598,0.713,0.000175,6.0,0.431,-3.625,0.0,0.0326,91.964,4.0,0.118,Giuliana,Andrea
The Things We Were,softy,0.916,0.676,0.337,0.841,5.0,0.109,-10.544,0.0,0.0304,127.848,4.0,0.145,Laura,Erika
"This Ain't A Scene, It's An Arms Race",Fall Out Boy,0.000747,0.435,0.887,0.0,9.0,0.0327,-4.07,1.0,0.0636,199.935,4.0,0.408,Erika,Erika
Primal Concrete Sledge,Pantera,0.000117,0.38,0.847,0.265,2.0,0.216,-12.352,1.0,0.0897,133.182,4.0,0.119,Erika,Erika
