Track,Artist,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Tag
TABU.,Yung Yury,0.219,0.667,0.702,4.3e-05,0,0.147,-8.49,0,0.169,148.978,4,0.479,Andrea
What It Is,Mark Knopfler,0.615,0.624,0.682,0.252,6,0.288,-7.274,0,0.0302,122.084,4,0.432,Erika
No Diggity,Blackstreet,0.303,0.867,0.646,0.0,1,0.279,-4.674,0,0.288,88.634,4,0.67,Giuliana
Pop Out (feat. Lil Tjay),Polo G,0.15,0.772,0.639,0.0,1,0.0698,-7.119,1,0.467,168.112,4,0.261,Giuliana
Navegando,Ryans HRZ,0.113,0.357,0.832,0.0,2,0.107,-4.32,0,0.138,175.3,4,0.136,Gianluca
PARA COM A MÃO NO CHÃO vs TU JOGA PRA TRÁS ENCOSTA ENCOSTA,DJ DUARTE,0.161,0.878,0.946,0.0422,11,0.0754,-3.951,1,0.131,130.018,4,0.828,Gianluca
Planet X,Space 92,0.006,0.792,0.836,0.878,7,0.108,-6.252,1,0.0648,130.003,4,0.183,Andrea
Highway to Hell,AC/DC,0.061,0.574,0.913,0.00158,6,0.156,-4.793,0,0.133,115.728,4,0.423,Erika
DIE LIEBE KOMMT NICHT AUS BERLIN,Brutalismus 3000,5.01e-05,0.552,0.882,0.787,6,0.0484,-5.292,1,0.0403,165.009,4,0.484,Andrea
Yungen (feat. Jack Harlow),Rod Wave,0.309,0.614,0.744,1.14e-06,11,0.173,-5.52,1,0.125,146.02,4,0.589,Giuliana
"Violin Concerto No. 1 in G minor, Op. 26: 1. Vorspiel (Allegro moderato)",Max Bruch,0.864,0.169,0.0974,0.632,3,0.087,-21.414,1,0.042,170.379,5,0.0524,Laura
My Name Is,Eminem,0.0416,0.869,0.68,1.12e-06,1,0.0914,-6.233,1,0.318,85.519,4,0.815,Giuliana
JEDE ZELLE MEINES KÖRPERS IST DRAUF,blayne,0.00718,0.68,0.813,0.0614,7,0.16,-9.64,1,0.143,90.014,4,0.353,Andrea
Still D.R.E.,Dr. Dre,0.16,0.816,0.775,0.00031,11,0.0543,-3.323,1,0.234,93.431,4,0.527,Giuliana
Two Minded,Jacidorex,0.000494,0.583,0.986,0.839,8,0.306,-5.826,1,0.0745,150.006,4,0.0818,Andrea
Méditation from Thaïs,Jules Massenet,0.87,0.114,0.0701,0.431,4,0.0916,-23.417,0,0.0445,89.33,1,0.0371,Laura
Imposible,Luis Fonsi,0.127,0.783,0.738,0.0,11,0.127,-4.078,1,0.0741,90.976,4,0.925,Gianluca
On The Low,Mr. Drippa,0.242,0.693,0.502,0.0,5,0.157,-9.051,1,0.197,153.015,4,0.479,Giuliana
Tell The Vision (feat. Kanye West & Pusha T),Pop Smoke,0.251,0.662,0.686,5.59e-06,7,0.349,-8.302,1,0.332,143.971,4,0.678,Giuliana
Muevelo Bli Blo - RKN Edit,Santiago,0.00218,0.897,0.889,0.17,1,0.318,-5.963,1,0.0628,126.021,4,0.597,Gianluca
One Armed Scissor,At the Drive-In,0.0603,0.253,0.931,3.06e-05,4,0.639,-4.189,0,0.142,162.382,4,0.252,Erika
"Chim Chim Cher-ee - From ""Mary Poppins""/Soundtrack Version",Dick Van Dyke,0.843,0.372,0.222,0.0,5,0.104,-17.325,0,0.112,69.81,4,0.392,Laura
Me Niego (feat. Ozuna & Wisin),Reik,0.0505,0.777,0.782,0.0,0,0.64,-4.435,0,0.0907,94.023,4,0.773,Gianluca
Wake Me up When September Ends,Green Day,0.023,0.546,0.814,0.0,7,0.0972,-5.146,1,0.0314,104.98,4,0.146,Erika
Never Tear Us Apart,INXS,0.00309,0.664,0.613,0.000128,0,0.175,-7.56,1,0.0273,96.6,3,0.193,Erika
Ante Up (Robbin Hoodz Theory),M.O.P.,0.00669,0.648,0.892,6.64e-05,1,0.882,-4.463,1,0.184,94.084,4,0.864,Giuliana
Lucid Dreams,Juice WRLD,0.349,0.511,0.566,0.0,6,0.34,-7.23,0,0.2,83.903,4,0.218,Giuliana
drunk face,Machine Gun Kelly,0.0282,0.691,0.77,0.0,7,0.497,-4.578,0,0.0367,90.024,4,0.344,Erika
Me Reclama,Mambo Kingz,0.348,0.755,0.72,0.0,1,0.168,-4.215,0,0.0826,175.93,4,0.713,Gianluca
All Time Chump,Alan Menken,0.985,0.207,0.142,0.0187,9,0.157,-22.315,0,0.0471,87.057,4,0.0687,Laura
"Giorni Contati (con Paky, Noyz Narcos, Geolier & Shiva)",Night Skinny,0.376,0.505,0.681,0.0,0,0.0995,-7.266,1,0.36,80.723,4,0.508,Giuliana
I Wanna Be Sedated - 2002 Remaster,Ramones,0.169,0.597,0.96,2.89e-05,11,0.105,-3.989,1,0.042,163.017,4,0.937,Erika
Already Won,Darius Martin,0.0986,0.75,0.723,8.71e-05,7,0.13,-5.858,0,0.0691,156.037,4,0.582,Giuliana
MOON AT COLORADO - CHR1ST3KK EDIT,TEKKISLOVE,0.0167,0.67,0.865,0.867,10,0.112,-8.607,0,0.0756,180.01,4,0.247,Andrea
True Love,Kanye West,0.0182,0.712,0.861,6.09e-06,5,0.511,-5.487,0,0.25,84.042,4,0.388,Giuliana
Baila Baila Baila - Remix,Ozuna,0.0598,0.785,0.572,0.0,2,0.218,-7.504,1,0.123,100.016,4,0.49,Gianluca
Pussy Banjo,Hoekagay,0.0252,0.92,0.737,0.0,1,0.0848,-4.223,1,0.0748,101.981,4,0.583,Giuliana
Infinity,Rosey Chan,0.992,0.358,0.00554,0.894,3,0.176,-29.617,1,0.0479,67.103,3,0.0587,Laura
Loco (with MamboLosco) - Italian Version,Yung Felix,0.0425,0.892,0.598,0.0,3,0.322,-5.354,1,0.155,107.975,4,0.414,Gianluca
Velocity,AKSOM,0.000465,0.678,0.948,0.758,6,0.0479,-5.678,0,0.075,132.004,4,0.656,Andrea
141 Schneeschieber,TAKTSTÖRER,0.0113,0.798,0.755,0.87,1,0.0859,-7.977,1,0.0639,141.017,4,0.52,Andrea
Jet Plane,Gusted,0.00858,0.671,0.974,0.255,10,0.109,-5.003,0,0.0365,145.006,4,0.422,Andrea
The Box,Roddy Ricch,0.104,0.896,0.586,0.0,10,0.79,-6.687,0,0.0559,116.971,4,0.642,Giuliana
Dream State,SAMDMA,0.0237,0.594,0.921,0.508,7,0.25,-6.181,0,0.0458,125.004,4,0.282,Andrea
Unico Amore Vero,Romeo e Giulietta,0.876,0.181,0.183,0.000155,4,0.131,-9.986,0,0.0299,74.119,4,0.116,Laura
Continuum: I,Jane Antonia Cornish,0.781,0.148,0.133,0.853,6,0.0775,-21.928,0,0.0471,78.937,4,0.0364,Laura
Something Good,Julie Andrews,0.949,0.229,0.0781,0.00135,1,0.115,-21.91,1,0.0398,81.981,1,0.171,Laura
Irre - KomaCasper Remix,Alfred Heinrichs,0.0736,0.774,0.686,0.00312,11,0.127,-7.486,0,0.202,169.995,4,0.192,Andrea
"Violin Concerto in D Major, Op. 61: I. Allegro ma non troppo (Cadenza: Kreisler)",Ludwig van Beethoven,0.954,0.23,0.105,0.0944,2,0.088,-20.209,1,0.0492,88.716,4,0.123,Laura
El Amante,Nicky Jam,0.243,0.683,0.691,0.0,8,0.14,-5.535,1,0.0432,179.91,4,0.732,Gianluca
I Love Rock 'N Roll,Joan Jett & the Blackhearts,0.326,0.535,0.716,0.0,4,0.659,-5.025,1,0.0431,94.379,4,0.901,Erika
Fat Bottomed Girls - 2011 Remaster,Queen,0.0322,0.332,0.683,6.51e-06,2,0.342,-7.679,1,0.0491,88.522,4,0.419,Erika
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",Metro Boomin,0.464,0.631,0.535,0.0,0,0.115,-7.836,1,0.0842,140.127,4,0.22,Giuliana
We Control,Lilly Palmer,0.00499,0.707,0.815,0.828,7,0.0874,-6.2,1,0.147,133.024,4,0.148,Andrea
RIGHTNOW!,Jed!,0.00194,0.665,0.674,0.808,10,0.115,-9.528,0,0.0431,146.991,4,0.331,Giuliana
Get Shaky,KXXMA,0.0129,0.711,0.468,0.0562,5,0.714,-17.63,1,0.15,169.974,4,0.556,Andrea
TekknoLiebe,Adlersson,0.00237,0.734,0.934,0.132,4,0.0868,-5.601,0,0.0793,97.498,4,0.604,Andrea
Luces,Fuego,0.333,0.748,0.689,7.56e-05,0,0.0872,-6.168,1,0.0696,110.049,4,0.534,Gianluca
"Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse",Antonín Dvořák,0.755,0.0,0.0842,0.889,9,0.262,-19.397,1,0.0,0.0,0,0.0,Laura
Mass Appeal,Gang Starr,0.0208,0.808,0.726,0.276,10,0.129,-8.435,0,0.252,96.12,4,0.616,Giuliana
Seven Nation Army,The White Stripes,0.0039,0.743,0.446,0.118,4,0.337,-7.807,0,0.0683,123.596,4,0.278,Erika
Big Pimpin',JAY-Z,0.168,0.88,0.814,0.00672,11,0.0584,-6.307,0,0.14,138.083,4,0.942,Giuliana
No Pinto Pajaritos,Andy Rivera,0.0215,0.824,0.676,0.0,0,0.0791,-2.914,1,0.279,180.094,4,0.703,Gianluca
Ex-Special,Jhayco,0.0356,0.782,0.747,0.0,10,0.174,-3.408,0,0.0473,119.993,4,0.644,Gianluca
The Scientist,Coldplay,0.731,0.557,0.442,1.46e-05,5,0.11,-7.224,1,0.0243,146.277,4,0.213,Erika
Heads Up,SLVL,0.00858,0.698,0.965,0.816,2,0.126,-5.116,1,0.106,154.999,4,0.054,Andrea
Why You Wanna,T.I.,0.358,0.802,0.772,0.0,1,0.0603,-4.893,0,0.192,96.046,4,0.654,Giuliana
The Age Of Love - Charlotte de Witte & Enrico Sangiuliano Remix,Age Of Love,0.0576,0.748,0.909,0.89,5,0.0945,-8.322,0,0.0505,130.0,4,0.0617,Andrea
Sola & Vacía,Casper Magico,0.207,0.712,0.851,4e-06,0,0.0334,-3.359,1,0.149,95.973,4,0.542,Gianluca
Hoffnung,MoshTekk,0.0577,0.546,0.89,0.677,2,0.208,-9.288,1,0.0756,170.035,4,0.186,Andrea
"The Hours: An Unwelcome Friend (From ""The Hours"")",Philip Glass,0.99,0.253,0.00429,0.912,7,0.103,-36.172,0,0.0523,74.497,3,0.0368,Laura
Elevate,HUTS,0.146,0.595,0.855,0.0598,3,0.3,-6.677,0,0.0506,125.839,4,0.56,Andrea
"Mephisto Waltz No. 1, S. 514",Franz Liszt,0.981,0.356,0.152,0.903,4,0.0807,-20.155,1,0.0406,132.413,4,0.04,Laura
Immigrant Song - Remaster,Led Zeppelin,0.0119,0.567,0.931,0.159,11,0.342,-10.361,1,0.0544,112.948,4,0.623,Erika
Smells Like Teen Spirit (Techno),TEKKNO GRLS,0.0284,0.682,0.599,0.000365,11,0.294,-10.129,1,0.143,74.938,1,0.78,Andrea
ECSTASY,EARGASM GOD,0.00357,0.754,0.96,0.823,6,0.0993,-4.813,0,0.0893,159.999,4,0.417,Andrea
Fugitives - Joseph Capriati Remix,Pan-Pot,0.000381,0.727,0.689,0.606,9,0.112,-7.502,1,0.0741,126.002,4,0.213,Andrea
Friday I'm In Love,The Cure,0.00126,0.526,0.763,6.75e-05,0,0.359,-12.663,0,0.0341,136.205,4,0.514,Erika
TU ME LLAMASTES,LARRY ANDERSON TORRES MARTÍNEZ,0.343,0.746,0.409,0.000533,9,0.109,-16.176,1,0.0986,102.036,4,0.806,Gianluca
Through The Blue - Piano Version,Roger Eno,0.987,0.441,0.00957,0.884,7,0.0954,-26.839,1,0.0308,75.403,4,0.373,Laura
Walk This Way,Aerosmith,0.0115,0.653,0.73,1.02e-05,5,0.0776,-10.613,1,0.0429,108.709,4,0.894,Erika
Relax,Frankie Goes To Hollywood,0.326,0.676,0.695,1.09e-05,11,0.0462,-13.395,0,0.0392,114.93,4,0.691,Erika
MAI TAI,Roma Boy,0.231,0.64,0.716,0.013,5,0.0916,-9.239,0,0.0515,98.041,4,0.333,Gianluca
Illusion,Juul Exler,5.42e-05,0.542,0.997,0.449,6,0.099,-5.564,1,0.0526,155.022,4,0.599,Andrea
"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version",Phil Collins,0.0643,0.566,0.748,5.16e-06,8,0.0925,-6.549,1,0.0301,96.586,4,0.614,Laura
"Prelude in B minor, BWV 855a (Arr. by Alexander Siloti)",Johann Sebastian Bach,0.987,0.182,0.0377,0.957,11,0.0804,-33.748,0,0.0391,100.482,4,0.0923,Laura
Rompo (feat. Boro),VillaBanks,0.295,0.7,0.747,9.09e-06,8,0.0919,-5.25,1,0.152,174.008,4,0.885,Gianluca
Wants and Needs (feat. Lil Baby),Drake,0.0574,0.588,0.412,7.96e-06,7,0.114,-7.397,0,0.329,136.068,4,0.121,Giuliana
Eye of the Tiger,Survivor,0.156,0.823,0.562,0.00033,0,0.0861,-10.134,0,0.0318,108.863,4,0.562,Erika
A Solas (Remix),Lunay,0.66,0.62,0.744,5.8e-06,6,0.141,-2.576,0,0.142,180.014,4,0.589,Gianluca
Desesperados,Rauw Alejandro,0.356,0.869,0.694,0.00125,1,0.0878,-3.35,0,0.0783,90.02,4,0.511,Gianluca
Stiff Upper Lip,AC/DC,0.0344,0.588,0.851,0.00773,7,0.16,-4.206,1,0.033,123.691,4,0.706,Erika
There Is Nothin' Like A Dame,Ken Darby Male Chorus,0.902,0.621,0.287,1.3e-06,7,0.284,-15.766,1,0.157,130.719,4,0.587,Laura
Cold as Ice,M.O.P.,0.0421,0.656,0.88,0.0,11,0.294,-5.425,0,0.143,85.565,4,0.758,Giuliana
Eckstein Eckstein,Daniel Levak,0.00164,0.582,0.937,0.802,9,0.209,-7.379,1,0.0384,133.017,4,0.358,Andrea
DÁKITI,Bad Bunny,0.401,0.731,0.573,5.22e-05,4,0.113,-10.059,0,0.0544,109.928,4,0.145,Gianluca
Medley,Various Artists,0.545,0.56,0.671,0.0,7,0.0683,-7.097,1,0.19,94.35,4,0.725,Laura
Full of Fire,Kobosil,0.000645,0.63,0.973,0.899,0,0.109,-5.251,1,0.0565,146.007,4,0.474,Andrea
Stakes Is High,De La Soul,0.0466,0.65,0.766,0.0,1,0.955,-7.638,1,0.452,92.122,4,0.843,Giuliana
Monotonía,Shakira,0.419,0.873,0.695,1.23e-06,0,0.211,-4.207,0,0.0459,131.963,4,0.823,Gianluca
Chu Chu Pamela,El Alfa,0.0718,0.893,0.871,0.5,2,0.056,-4.316,1,0.0734,115.995,4,0.792,Gianluca
Red Alarm,Alignment,0.000204,0.697,0.751,0.91,1,0.155,-7.974,1,0.0505,144.978,4,0.232,Andrea
DANDO Y DANDO,Rian Cost,0.146,0.946,0.423,0.0,6,0.168,-11.422,0,0.208,112.97,4,0.373,Gianluca
Lalalalala (Hardstyle) - High Level Remix,Hardstyle Germany,0.0926,0.443,0.943,0.0871,0,0.333,-3.008,1,0.359,77.566,5,0.493,Andrea
Como Llora,Juanfran,0.183,0.827,0.629,0.0,6,0.084,-3.966,0,0.185,88.064,4,0.486,Gianluca
Do For Love,2Pac,0.0578,0.874,0.63,0.00479,1,0.0582,-3.585,1,0.298,95.0,4,0.717,Giuliana
Push Up - Main Edit,Creeds,0.209,0.767,0.83,0.836,7,0.0582,-8.78,1,0.206,75.023,4,0.187,Andrea
"Préludes / Book 2, L. 123: 5. Bruyères - Home Session",Claude Debussy,0.992,0.3,0.0405,0.948,8,0.138,-31.023,1,0.0449,63.821,3,0.233,Laura
Look Back at It,A Boogie Wit da Hoodie,0.407,0.791,0.587,0.0,3,0.148,-5.075,0,0.0413,96.057,4,0.536,Giuliana
Bye Bye,Marshmello,0.0574,0.645,0.525,0.0,3,0.505,-5.399,0,0.0355,83.018,4,0.238,Giuliana
Out Of Love (feat. Internet Money),Lil Tecca,0.0847,0.732,0.636,0.0,7,0.241,-6.162,0,0.0497,138.061,4,0.358,Giuliana
Sevilla,Henrique Camacho,0.00522,0.498,0.949,0.697,9,0.0674,-5.145,1,0.289,180.06,4,0.155,Andrea
Kickback,YNG Chasey,0.00681,0.847,0.664,0.0,1,0.123,-6.083,1,0.0882,96.038,4,0.336,Giuliana
Buddha on Acid,Klanglos,0.375,0.77,0.71,0.503,7,0.117,-7.944,0,0.087,130.022,4,0.114,Andrea
After Midnight,Michael Parker,0.0216,0.563,0.938,0.801,5,0.27,-4.668,0,0.126,139.931,4,0.117,Andrea
Inbetween Days,The Cure,0.107,0.546,0.836,0.583,9,0.166,-6.321,1,0.0317,142.605,4,0.735,Erika
Error 909,The YellowHeads,0.039,0.644,0.96,0.93,2,0.134,-6.978,1,0.0462,129.978,4,0.1,Andrea
Off Wiv Ya Headz,Nia Archives,0.0116,0.555,0.984,0.586,8,0.54,-2.772,0,0.135,164.989,4,0.337,Andrea
3 Spirituals for Orchestra: No. 2. Kum Bab Yah,Adolphus Hailstork,0.945,0.141,0.00268,0.601,2,0.0756,-37.571,0,0.0427,140.372,5,0.0386,Laura
Take It Off,COSMO,0.00894,0.747,0.511,3.51e-05,1,0.112,-5.255,1,0.154,155.01,4,0.247,Giuliana
Living Like Larry,EssCarloss,0.0249,0.807,0.666,5.4e-06,11,0.0953,-6.287,0,0.167,135.039,4,0.364,Giuliana
21 Guns,Green Day,0.0518,0.268,0.742,0.0,5,0.626,-4.939,1,0.0355,159.779,4,0.416,Erika
Mood Swings (feat. Lil Tjay),Pop Smoke,0.487,0.48,0.602,0.0,10,0.0848,-6.335,0,0.368,179.798,4,0.269,Giuliana
Anthem,Atomic,0.201,0.724,0.493,0.0,3,0.113,-8.507,0,0.309,97.051,4,0.262,Giuliana
Without Me,Eminem,0.00286,0.908,0.669,0.0,7,0.237,-2.827,1,0.0738,112.238,4,0.662,Giuliana
Somewhere Only We Know,Keane,0.06,0.448,0.665,2.55e-05,9,0.0828,-4.203,1,0.026,172.004,4,0.304,Erika
Me Or The Papes,Jeru The Damaja,0.0314,0.713,0.597,0.0,6,0.0348,-10.741,0,0.37,169.646,5,0.803,Giuliana
Lighters Up - Nationwide Version,Lil' Kim,0.00494,0.624,0.766,0.0,9,0.107,-6.31,1,0.396,91.727,4,0.714,Giuliana
London Calling - Remastered,The Clash,0.123,0.651,0.801,0.0,0,0.0825,-7.34,1,0.0514,133.769,4,0.776,Erika
Plans 4 You,Carson Lueders,0.692,0.693,0.708,0.0,7,0.111,-5.148,0,0.105,84.981,4,0.515,Giuliana
Miami,Wisin & Yandel,0.0179,0.923,0.693,8.38e-05,1,0.0991,-5.207,1,0.116,122.029,4,0.532,Gianluca
Pinball Wizard,The Who,0.0192,0.543,0.715,0.0,2,0.256,-8.89,1,0.0356,124.011,4,0.468,Erika
Psycho In My Head,Skillet,0.000926,0.563,0.924,0.0,0,0.341,-4.004,1,0.048,133.997,4,0.734,Erika
a m a r i,J. Cole,0.127,0.725,0.713,0.0,4,0.617,-6.173,0,0.187,65.988,4,0.207,Giuliana
Kingdom - Dance Therapy,PTtheGospelSpitter,0.576,0.731,0.727,0.0,7,0.267,-9.423,0,0.0988,110.017,4,0.618,Giuliana
Only Happy When It Rains (2015 - Remaster),Garbage,4.16e-05,0.512,0.833,0.00134,11,0.21,-4.555,1,0.0326,121.47,4,0.448,Erika
"2 Aquarelles: Lento, ma non troppo",Frederick Delius,0.97,0.176,0.0534,0.915,10,0.29,-27.626,1,0.0406,71.673,5,0.0332,Laura
Poland,Lil Yachty,0.141,0.695,0.555,0.826,5,0.11,-8.5,0,0.0509,150.024,4,0.26,Giuliana
One Pill,VNSSA,0.0281,0.76,0.766,0.619,11,0.128,-7.167,0,0.0429,130.022,4,0.469,Andrea
Broken Bells,Greta Van Fleet,0.0935,0.436,0.591,0.0408,11,0.0902,-5.465,0,0.0289,79.975,4,0.108,Erika
Grown Man Sport,Pete Rock,0.476,0.802,0.757,1.28e-05,7,0.163,-8.01,1,0.316,88.031,4,0.605,Giuliana
Spuck mir in den Mund,Kalte Liebe,0.000775,0.569,0.997,0.899,9,0.0442,-3.874,1,0.063,148.025,4,0.694,Andrea
Body (Techno),FUTURAMI,0.00468,0.803,0.751,0.000318,8,0.473,-6.974,1,0.271,139.997,4,0.434,Andrea
"Gottes Zeit ist die allerbeste Zeit, Sonatina az ""Actus tragicus""-ból, BWV 106",Johann Sebastian Bach,0.996,0.488,0.0302,0.912,3,0.0934,-34.981,1,0.0691,74.322,4,0.147,Laura
Typa Girl,southstar,0.0107,0.638,0.879,0.193,1,0.129,-5.691,1,0.0288,150.013,4,0.593,Andrea
Vapeo Lento,Bad7auro,0.17,0.789,0.606,0.867,3,0.103,-9.368,0,0.0926,95.02,4,0.459,Gianluca
Born in the U.S.A.,Bruce Springsteen,0.000373,0.398,0.952,7.75e-05,4,0.1,-6.042,1,0.061,122.093,4,0.584,Erika
Ball If I Want To,DaBaby,0.161,0.902,0.669,0.0,1,0.0728,-5.049,1,0.457,139.949,4,0.628,Giuliana
I Heard It Through The Grapevine,Marvin Gaye,0.272,0.711,0.362,0.0,3,0.127,-10.851,0,0.0381,117.287,4,0.616,Erika
PUFFIN ON ZOOTIEZ,Future,0.0603,0.883,0.657,0.0,8,0.128,-5.748,1,0.305,124.992,4,0.284,Giuliana
GOLDEN SZN,OGUZ,0.131,0.536,0.915,0.624,3,0.0765,-7.767,0,0.298,154.986,4,0.0626,Andrea
June Is Bustin' Out All Over - Remastered,Claramae Turner,0.952,0.632,0.237,0.0,3,0.514,-13.586,1,0.0603,118.886,4,0.391,Laura
En nacelle,Henrique Oswald,0.995,0.429,0.0234,0.957,6,0.0962,-29.753,1,0.0489,116.163,4,0.0751,Laura
NRG - Sonny Wern Remix,Jazzy,0.016,0.658,0.937,0.0821,9,0.102,-6.493,1,0.0714,155.037,4,0.365,Andrea
Crack A Bottle,Eminem,0.0864,0.516,0.874,0.0,9,0.173,-2.571,1,0.186,169.561,3,0.391,Giuliana
105 F Remix,KEVVO,0.367,0.9,0.754,2.73e-06,5,0.286,-7.016,0,0.156,100.045,4,0.741,Gianluca
Juicy - 2005 Remaster,The Notorious B.I.G.,0.47,0.889,0.818,0.0,9,0.179,-4.639,1,0.253,96.063,4,0.782,Giuliana
God's Plan,Drake,0.0332,0.754,0.449,8.29e-05,7,0.552,-9.211,1,0.109,77.169,4,0.357,Giuliana
If I Can't,50 Cent,0.265,0.886,0.626,0.0,11,0.024,-2.528,0,0.277,93.989,4,0.856,Giuliana
La Grange - 2005 Remaster,ZZ Top,0.00249,0.545,0.64,0.0304,4,0.196,-9.937,0,0.224,80.544,4,0.606,Erika
Neverita,Bad Bunny,0.0706,0.876,0.498,0.0,10,0.143,-7.511,1,0.0478,122.016,4,0.428,Gianluca
E.T.,Sandëro,0.00884,0.672,0.785,0.0,3,0.168,-4.684,0,0.472,135.28,4,0.356,Andrea
PAPI (feat. Babywine & Alberto Stylee),DJ Nelson,0.359,0.909,0.716,0.00224,1,0.106,-6.628,1,0.126,105.078,4,0.417,Gianluca
Baba O'Riley,The Who,0.313,0.489,0.724,0.185,5,0.287,-8.367,1,0.0352,117.292,4,0.15,Erika
Natural Light,Ludovico Einaudi,0.992,0.218,0.00352,0.951,1,0.139,-39.627,1,0.0515,68.61,4,0.192,Laura
Complicated,Avril Lavigne,0.0572,0.585,0.776,7.74e-06,5,0.3,-5.898,1,0.0459,77.987,4,0.427,Erika
APA,Mora,0.712,0.757,0.738,9.67e-06,8,0.198,-4.913,0,0.22,120.091,4,0.753,Gianluca
Can't Knock The Hustle,JAY-Z,0.198,0.78,0.378,0.0,7,0.0782,-11.48,1,0.465,94.897,4,0.577,Giuliana
"The Surrey With The Fringe On Top - From ""Oklahoma!"" Soundtrack",Charlotte Greenwood,0.897,0.424,0.0827,0.0,7,0.0821,-18.474,1,0.0932,88.942,4,0.301,Laura
Forever,Drake,0.249,0.457,0.906,0.0,5,0.182,-2.278,0,0.342,104.02,5,0.54,Giuliana
"You'll Never Walk Alone (from ""Carousel"")",Josh Groban,0.626,0.204,0.42,0.0135,5,0.182,-7.984,1,0.0304,101.881,4,0.104,Laura
Loco,Lele Blade,0.202,0.704,0.651,0.0,0,0.123,-5.942,0,0.064,82.945,4,0.608,Gianluca
Far Away,Mark Reeve,0.00879,0.802,0.644,0.902,11,0.109,-8.582,0,0.0519,128.002,4,0.0336,Andrea
Tócame (feat. Pitbull),Elettra Lamborghini,0.0232,0.685,0.731,0.000744,5,0.174,-4.428,0,0.0933,98.098,4,0.581,Gianluca
Genie,O Billz,0.0042,0.7,0.744,0.00212,8,0.334,-8.928,1,0.167,175.964,4,0.583,Giuliana
La pluie,Axos,0.101,0.515,0.596,2.11e-06,1,0.123,-9.788,1,0.458,80.648,4,0.348,Giuliana
BABY SAID,Måneskin,0.000982,0.622,0.715,0.0,6,0.0796,-4.04,0,0.0323,131.012,4,0.607,Erika
Lifestyle,Guè,0.133,0.739,0.627,0.0,6,0.223,-4.955,0,0.162,93.591,4,0.196,Giuliana
Memories of a Promenade II,Olga Scheps,0.991,0.215,0.0282,0.877,0,0.107,-28.351,0,0.0353,74.408,4,0.167,Laura
"Substitutiary Locomotion - From ""Bedknobs and Broomsticks""/Soundtrack Version",Angela Lansbury,0.642,0.79,0.405,0.0,0,0.0766,-10.533,1,0.275,110.753,4,0.464,Laura
El Manual,Anuel AA,0.35,0.843,0.845,0.00168,0,0.0527,-2.344,1,0.0503,126.989,4,0.898,Gianluca
Move Bitch,Ludacris,0.245,0.777,0.751,0.0,1,0.1,-5.692,1,0.133,177.894,4,0.191,Giuliana
China,Anuel AA,0.0846,0.786,0.808,0.000289,7,0.0822,-3.702,1,0.0882,105.027,4,0.609,Gianluca
"Let's Go Fly a Kite - From ""Mary Poppins""/Soundtrack Version",David Tomlinson,0.825,0.441,0.142,0.0,5,0.128,-17.751,1,0.0415,145.552,3,0.547,Laura
Jump - 2015 Remaster,Van Halen,0.171,0.572,0.835,0.000377,0,0.0702,-6.219,1,0.0317,129.981,4,0.795,Erika
Boiler,Limp Bizkit,0.00393,0.443,0.722,0.0155,6,0.0373,-6.326,1,0.0865,111.324,4,0.167,Erika
Vaho,Brayan Martinez,0.0855,0.7,0.703,0.0,4,0.0692,-7.495,0,0.168,89.888,4,0.348,Gianluca
Piece of My Heart,Big Brother & The Holding Company,0.263,0.443,0.727,0.000141,4,0.169,-7.951,1,0.145,160.82,4,0.566,Erika
Sgadi Li Mi,Charlotte de Witte,0.0597,0.765,0.94,0.932,6,0.106,-9.784,0,0.0605,135.009,4,0.0528,Andrea
"Prologue / ""Tradition"" / Main Title",John Williams,0.866,0.48,0.247,6.13e-05,0,0.0585,-15.086,1,0.155,77.002,4,0.303,Laura
Future Dust - Original Mix,Enrico Sangiuliano,0.000695,0.788,0.915,0.839,7,0.0962,-4.904,1,0.0431,132.005,4,0.0934,Andrea
King Snipe,Gucci Mane,0.0103,0.818,0.526,0.0,1,0.146,-8.078,1,0.277,125.061,4,0.531,Giuliana
X,Nicky Jam,0.0338,0.594,0.749,0.00106,9,0.3,-5.298,0,0.056,179.968,4,0.694,Gianluca
Tony,Marracash,0.415,0.645,0.875,0.0,1,0.0621,-4.658,0,0.265,127.891,4,0.256,Giuliana
Good Times Roll - 2016 Remaster,The Cars,0.0731,0.631,0.689,0.000357,4,0.102,-8.358,1,0.0284,107.667,4,0.645,Erika
Drop It Like It's Hot,Snoop Dogg,0.19,0.888,0.632,0.0,1,0.101,-3.872,1,0.219,91.979,4,0.662,Giuliana
Good Riddance (Time of Your Life),Green Day,0.183,0.475,0.432,0.0,7,0.161,-7.844,1,0.0302,94.605,4,0.648,Erika
Karma Police,Radiohead,0.0626,0.36,0.505,9.22e-05,7,0.172,-9.129,1,0.026,74.807,4,0.317,Erika
"Symphonic Variations on an African Air, Op. 63",Samuel Coleridge-Taylor,0.959,0.224,0.0291,0.845,7,0.11,-26.167,1,0.0455,120.946,4,0.0538,Laura
